data,qtd,valor_liquido,valor_abs
2011-10-17,2,-84.74,84.74
2011-10-20,1,-13.88,13.88
2011-10-23,1,-19.54,19.54
2011-10-25,3,-79.99,79.99
2011-10-29,1,-8.04,8.04
2011-10-30,1,-10.17,10.17
2011-10-31,1,-4.35,4.35
2011-11-03,1,-19.62,19.62
2011-11-06,1,41.53,41.53
2011-11-09,3,56.50,67.30
2011-11-10,1,76685.00,76685.00
2011-11-12,3,160.74,198.26
2011-11-13,2,17385.79,17434.21
2011-11-16,1,-20.60,20.60
2011-11-17,3,163.38,208.34
2011-11-19,1,-14.08,14.08
2011-11-21,1,22.72,22.72
2011-11-22,4,36780.02,37064.58
2011-11-23,1,-83.44,83.44
2011-11-24,1,70.29,70.29
2011-11-25,3,-200.65,200.65
2011-11-29,3,27.85,107.19
2011-11-30,2,-43.14,43.14
2011-12-01,1,-61.79,61.79
2011-12-07,3,-139.32,252.72
2011-12-08,1,-40.00,40.00
2011-12-20,1,-12.67,12.67
2011-12-21,1,-68.19,68.19
2011-12-24,1,49.18,49.18
2011-12-25,2,-21.56,21.56
2011-12-26,3,-64.43,118.25
2011-12-27,1,-22.00,22.00
2011-12-28,2,-74.04,74.04
2011-12-29,1,-12.07,12.07
2011-12-30,6,14550.06,63089.34
2011-12-31,1,-19.56,19.56
2012-01-01,2,38.01,52.97
2012-01-03,1,108.53,108.53
2012-01-04,2,-17.59,81.09
2012-01-06,1,-44.81,44.81
2012-01-08,1,-110.00,110.00
2012-01-09,3,-142.49,142.49
2012-01-10,2,-48.03,48.03
2012-01-11,4,24320.68,24579.32
2012-01-12,3,-804.46,865.08
2012-01-13,1,54.17,54.17
2012-01-14,1,-49.16,49.16
2012-01-18,1,1105.20,1105.20
2012-01-19,1,20.37,20.37
2012-01-21,3,-79.49,79.49
2012-01-25,3,70.00,95.74
2012-01-26,1,-10.16,10.16
2012-01-27,1,-63.88,63.88
2012-01-28,1,-29.70,29.70
2012-01-31,1,116.78,116.78
2012-02-01,1,-61.76,61.76
2012-02-04,2,-64.06,64.06
2012-02-05,2,-3585.71,3585.71
2012-02-07,3,-51.70,51.70
2012-02-09,3,10.57,204.63
2012-02-10,1,-13.00,13.00
2012-02-11,1,-51.06,51.06
2012-02-13,2,-85.19,85.19
2012-02-15,1,37.99,37.99
2012-02-20,2,20.10,58.36
2012-02-21,3,-307.74,307.74
2012-02-22,1,-32.93,32.93
2012-02-23,6,-2529.08,2529.08
2012-02-24,2,-227.96,227.96
2012-02-28,2,99.99,183.67
2012-03-04,1,-115.20,115.20
2012-03-05,1,-163.56,163.56
2012-03-07,2,313.74,377.86
2012-03-09,1,72.00,72.00
2012-03-10,6,258.97,1115.23
2012-03-12,1,16.06,16.06
2012-03-13,4,-301.70,301.70
2012-03-14,1,-83.59,83.59
2012-03-17,3,-22.13,33.77
2012-03-18,2,16.56,86.66
2012-03-19,1,-4.59,4.59
2012-03-21,7,-380.36,2293.56
2012-03-22,3,12.12,177.68
2012-03-23,8,158.18,772.16
2012-03-24,3,-119.64,119.64
2012-03-25,2,-397.72,397.72
2012-03-26,1,-93.54,93.54
2012-03-27,4,17894.02,18145.98
2012-03-28,4,-141.20,141.20
2012-03-29,4,50198.31,50254.03
2012-03-30,2,-20.71,167.39
2012-03-31,5,-161.57,331.49
2012-04-01,2,-61.54,61.54
2012-04-02,6,41273.56,41434.92
2012-04-03,3,1589.19,1758.81
2012-04-04,2,-71.06,71.06
2012-04-05,6,-299.44,299.44
2012-04-06,2,-197.98,197.98
2012-04-07,5,-3260.82,3260.82
2012-04-08,6,201.26,618.18
2012-04-10,4,164037.98,164762.02
2012-04-11,4,-18.47,232.65
2012-04-12,1,-17.62,17.62
2012-04-13,1,-7.66,7.66
2012-04-14,1,-25.21,25.21
2012-04-15,1,-981.59,981.59
2012-04-16,4,396.79,472.59
2012-04-17,5,33.57,225.95
2012-04-18,3,-387.40,387.40
2012-04-20,5,12.94,158.26
2012-04-21,3,-23.66,90.14
2012-04-23,1,-207.91,207.91
2012-04-24,4,-6.04,226.38
2012-04-26,7,21490.76,21875.02
2012-04-27,4,-345.30,345.30
2012-04-28,3,-251.77,251.77
2012-04-29,4,-590.77,590.77
2012-05-01,1,-14.28,14.28
2012-05-02,3,32135.57,32284.43
2012-05-03,3,-7.77,111.27
2012-05-04,6,2650.26,2796.94
2012-05-05,1,-24.11,24.11
2012-05-06,1,-39.66,39.66
2012-05-07,5,389.09,1180.51
2012-05-08,2,1266.48,1285.52
2012-05-09,2,-83.71,83.71
2012-05-11,1,-125.00,125.00
2012-05-12,1,-14.84,14.84
2012-05-14,2,-51.41,253.21
2012-05-16,4,-211.17,211.17
2012-05-17,2,170.42,285.78
2012-05-18,2,-29.75,29.75
2012-05-19,1,-18.78,18.78
2012-05-20,6,-253.57,253.57
2012-05-21,2,-93.88,93.88
2012-05-22,2,-228.08,228.08
2012-05-23,1,-45.74,45.74
2012-05-24,1,82.61,82.61
2012-05-25,5,17568.83,17870.07
2012-05-26,3,67.67,95.55
2012-05-28,3,-60.52,60.52
2012-05-29,7,-213.36,213.36
2012-05-30,5,-917.50,917.50
2012-05-31,3,-132.79,132.79
2012-06-01,8,17.90,483.88
2012-06-02,6,-151.69,151.69
2012-06-04,2,-1421.88,1421.88
2012-06-06,1,-9.64,9.64
2012-06-07,4,-303.53,303.53
2012-06-08,5,-308.67,308.67
2012-06-09,2,823.77,898.23
2012-06-11,3,-193.43,324.21
2012-06-12,1,-29.07,29.07
2012-06-15,3,155.03,1596.97
2012-06-16,2,62.70,160.66
2012-06-17,3,-97.81,97.81
2012-06-18,2,-45.54,45.54
2012-06-19,1,19.23,19.23
2012-06-22,1,-8.39,8.39
2012-06-23,1,-22.10,22.10
2012-06-24,1,-17.01,17.01
2012-06-25,8,1457.66,1641.88
2012-06-27,1,-34.08,34.08
2012-06-29,1,-40.64,40.64
2012-06-30,1,292.40,292.40
2012-07-01,2,7.05,44.09
2012-07-02,3,-112.76,112.76
2012-07-03,12,142464.02,143575.98
2012-07-04,6,-307.33,307.33
2012-07-05,3,-142.75,142.75
2012-07-06,1,328.40,328.40
2012-07-07,4,-111.81,111.81
2012-07-08,2,-235.93,235.93
2012-07-09,5,16210.81,16749.19
2012-07-12,1,-13.40,13.40
2012-07-14,4,2.04,124.46
2012-07-15,1,88945.00,88945.00
2012-07-16,3,-255.14,255.14
2012-07-18,6,534.52,1083.56
2012-07-19,1,-290.00,290.00
2012-07-20,1,-47.93,47.93
2012-07-21,1,-117.08,117.08
2012-07-22,1,-32.45,32.45
2012-07-23,1,-97.36,97.36
2012-07-25,1,10.18,10.18
2012-07-26,3,-115.22,115.22
2012-07-29,2,-18.09,18.09
2012-07-30,1,-15.85,15.85
2012-08-01,3,-635.76,635.76
2012-08-04,2,-93.84,93.84
2012-08-05,9,-190.47,753.07
2012-08-06,3,-70.18,70.18
2012-08-08,1,-69.01,69.01
2012-08-15,2,29.74,61.66
2012-08-16,2,-81.53,81.53
2012-08-17,3,-167.96,167.96
2012-08-18,3,15.41,140.35
2012-08-19,1,-30.69,30.69
2012-08-20,2,102.95,152.19
2012-08-22,1,22.75,22.75
2012-08-23,3,-69.08,69.08
2012-08-24,1,52.80,52.80
2012-08-25,1,-737.80,737.80
2012-08-26,2,-72.98,72.98
2012-08-30,2,-102.96,102.96
2012-09-03,5,-65.75,183.55
2012-09-05,4,33146.42,33743.58
2012-09-07,3,-183.69,183.69
2012-09-08,3,14073.48,14516.52
2012-09-10,1,-148.95,148.95
2012-09-11,2,1580.44,1625.76
2012-09-12,6,26879.93,27400.43
2012-09-13,2,-188.38,188.38
2012-09-14,2,-55.46,55.46
2012-09-15,1,-113.57,113.57
2012-09-16,1,-48.32,48.32
2012-09-21,2,-225.03,225.03
2012-09-22,2,-64.74,64.74
2012-09-26,3,-96.83,96.83
2012-09-27,3,-201.84,201.84
2012-09-28,2,-134.22,134.22
2012-09-29,1,-149.40,149.40
2012-09-30,4,-141.54,141.54
2012-10-01,1,-19.81,19.81
2012-10-02,4,-399.37,399.37
2012-10-06,1,-62.80,62.80
2012-10-08,1,-23.06,23.06
2012-10-11,2,17.42,93.82
2012-10-12,4,-76.33,76.33
2012-10-13,8,-1050.57,1719.41
2012-10-14,2,-99.82,99.82
2012-10-15,1,-46.84,46.84
2012-10-17,2,20780.11,20879.89
2012-10-18,2,-29.02,29.02
2012-10-20,9,-1370.87,1606.79
2012-10-21,2,-44.55,44.55
2012-10-22,1,-28.85,28.85
2012-10-23,2,-1550.25,1550.25
2012-10-26,2,-187.55,187.55
2012-10-27,9,-473.64,473.64
2012-10-28,4,-96701.04,96701.04
2012-10-30,2,-19.69,115.95
2012-10-31,3,-69.32,69.32
2012-11-01,4,-29.87,130.15
2012-11-02,3,-124.57,124.57
2012-11-03,5,-203.96,203.96
2012-11-04,2,53631.95,53668.05
2012-11-05,5,-154.52,154.52
2012-11-06,3,-290.98,290.98
2012-11-07,2,1363.16,1397.64
2012-11-08,6,-347.60,575.92
2012-11-10,2,92.22,107.10
2012-11-12,1,-100.03,100.03
2012-11-13,1,-83.36,83.36
2012-11-14,4,-99.15,211.25
2012-11-15,4,-458.51,458.51
2012-11-16,6,79.34,768.66
2012-11-17,1,-17.80,17.80
2012-11-18,2,-164.06,164.06
2012-11-19,2,-55.14,55.14
2012-11-20,1,23.66,23.66
2012-11-21,5,-21.03,329.07
2012-11-22,3,-100.77,100.77
2012-11-25,1,71.26,71.26
2012-11-26,4,-93.45,107.09
2012-11-27,4,56777.39,57270.11
2012-11-28,1,-15.52,15.52
2012-11-29,1,-18.33,18.33
2012-12-01,3,3644.85,3725.15
2012-12-02,5,-44.60,202.04
2012-12-03,7,2037.79,3966.21
2012-12-04,2,-143.66,143.66
2012-12-05,4,-73.62,73.62
2012-12-06,1,32.04,32.04
2012-12-07,7,-200.59,237.11
2012-12-09,7,290.69,791.37
2012-12-10,7,-307.84,343.58
2012-12-11,3,-57.95,57.95
2012-12-12,1,-38.71,38.71
2012-12-13,1,-75.08,75.08
2012-12-14,2,5145.08,5246.92
2012-12-15,1,-10.96,10.96
2012-12-16,7,-115.58,411.90
2012-12-17,7,-87.20,395.80
2012-12-18,6,9068.88,9671.12
2012-12-20,1,146.20,146.20
2012-12-21,3,-150.17,150.17
2012-12-22,3,-51.66,56.20
2012-12-24,3,-247.99,247.99
2012-12-25,1,-284.68,284.68
2012-12-27,1,683.40,683.40
2012-12-28,3,-190.58,261.22
2012-12-29,6,-160.43,326.93
2012-12-30,2,-54.86,54.86
2012-12-31,2,-94.63,94.63
2013-01-01,2,-28.24,28.24
2013-01-02,7,-453.83,453.83
2013-01-03,2,291.16,398.16
2013-01-04,10,-188.93,349.23
2013-01-05,2,-122.14,122.14
2013-01-07,3,-71.42,121.48
2013-01-08,14,-902.42,1290.74
2013-01-09,7,-148.17,501.37
2013-01-10,4,-223.37,223.37
2013-01-11,1,-21.26,21.26
2013-01-12,4,-179.94,179.94
2013-01-13,2,55.79,84.41
2013-01-15,3,-194.03,194.03
2013-01-17,4,-272.18,272.18
2013-01-18,4,-113.76,113.76
2013-01-19,1,39.55,39.55
2013-01-21,1,-55.66,55.66
2013-01-22,2,38.63,171.95
2013-01-23,2,-50.78,50.78
2013-01-25,1,-58.67,58.67
2013-01-26,4,358.13,610.65
2013-01-27,1,-46.19,46.19
2013-01-28,6,-262.03,262.03
2013-01-29,8,10953.51,12366.49
2013-01-30,5,-20.33,115.31
2013-01-31,4,-63.30,104.78
2013-02-01,3,120.23,383.17
2013-02-02,3,534.56,579.64
2013-02-05,13,830.85,2767.21
2013-02-06,5,18805.55,19128.69
2013-02-07,3,490.24,589.76
2013-02-09,1,-12.13,12.13
2013-02-10,2,693.84,763.36
2013-02-12,3,-162.66,162.66
2013-02-14,3,78.23,99.73
2013-02-15,1,112.76,112.76
2013-02-16,3,-61.59,420.19
2013-02-17,4,1.26,209.44
2013-02-18,4,-96.73,96.73
2013-02-19,5,37804.03,38052.43
2013-02-20,2,0.54,19.70
2013-02-21,7,-418.91,418.91
2013-02-22,3,-121.31,121.31
2013-02-23,7,-471.85,517.91
2013-02-24,1,-11.46,11.46
2013-02-25,2,401.64,456.96
2013-02-26,1,-13.52,13.52
2013-02-28,3,-526.71,558.07
2013-03-02,2,-54.30,54.30
2013-03-04,2,-5.71,20.43
2013-03-05,3,-30.36,30.36
2013-03-06,2,-104.40,129.50
2013-03-07,1,-8.19,8.19
2013-03-08,1,-95.36,95.36
2013-03-11,6,83183.24,83586.76
2013-03-12,3,324.53,390.97
2013-03-13,8,18510.73,18969.89
2013-03-15,1,-35.52,35.52
2013-03-17,3,-119.76,119.76
2013-03-18,7,-26.37,222.55
2013-03-19,7,19898.97,22561.03
2013-03-20,6,-966.67,966.67
2013-03-21,9,-656.09,717.09
2013-03-22,6,-214.25,291.01
2013-03-23,5,-410.20,410.20
2013-03-24,2,221.12,221.12
2013-03-25,6,-553.61,553.61
2013-03-26,3,-107.37,107.37
2013-03-27,1,-14.58,14.58
2013-03-28,2,2405.89,2434.11
2013-03-29,2,14785.47,14824.53
2013-03-30,1,-415.54,415.54
2013-03-31,4,-113.29,113.29
2013-04-01,4,-63.60,174.42
2013-04-02,4,99408.52,99641.48
2013-04-03,1,13.48,13.48
2013-04-04,3,90.49,293.51
2013-04-05,3,-69.08,69.08
2013-04-06,3,-153.71,153.71
2013-04-07,6,79.41,258.83
2013-04-08,1,-2.28,2.28
2013-04-09,2,-68.56,68.56
2013-04-11,4,139.93,265.07
2013-04-12,2,-69.16,69.16
2013-04-13,2,-53.94,53.94
2013-04-14,1,-59.83,59.83
2013-04-15,5,-337.06,337.06
2013-04-16,2,106.84,132.56
2013-04-17,7,48370.14,49345.38
2013-04-18,7,-1099.95,1099.95
2013-04-19,2,-23.79,23.79
2013-04-20,1,-5.54,5.54
2013-04-21,4,-1860.83,1903.51
2013-04-22,3,-215.98,215.98
2013-04-23,1,-12.98,12.98
2013-04-24,2,-65.81,65.81
2013-04-25,8,-120.95,727.73
2013-04-27,3,-2078.58,2078.58
2013-04-28,1,-50.37,50.37
2013-04-29,2,-54.28,54.28
2013-05-01,5,-215.68,355.32
2013-05-02,10,17445.39,17844.07
2013-05-03,2,-146.25,146.25
2013-05-04,5,-996.41,1969.25
2013-05-05,6,28952.90,29475.44
2013-05-06,2,28725.68,28754.32
2013-05-07,8,18733.63,19008.01
2013-05-08,6,-243.93,243.93
2013-05-09,1,-245.00,245.00
2013-05-10,2,-464.19,464.19
2013-05-11,5,-111.54,275.60
2013-05-12,2,-57.05,57.05
2013-05-13,3,7351.60,7528.40
2013-05-14,7,-331.19,331.19
2013-05-15,1,-41.38,41.38
2013-05-17,2,-689.84,689.84
2013-05-19,2,-307.51,307.51
2013-05-20,2,-32.38,32.38
2013-05-22,4,537.14,620.96
2013-05-23,1,-51.70,51.70
2013-05-24,2,-693.96,693.96
2013-05-25,1,-24.85,24.85
2013-05-26,5,-266.79,275.59
2013-05-27,10,-546.14,715.90
2013-05-29,3,-44.81,44.81
2013-05-30,3,-93.87,93.87
2013-05-31,2,-5.01,34.95
2013-06-01,4,-8.01,114.75
2013-06-02,11,-765.16,765.16
2013-06-03,7,-367.17,367.17
2013-06-04,5,146.43,593.57
2013-06-05,4,-1291.55,1291.55
2013-06-06,5,-151.44,151.44
2013-06-07,3,-61.95,61.95
2013-06-08,2,881.49,918.91
2013-06-09,4,-243.27,243.27
2013-06-10,5,-104.66,729.46
2013-06-11,4,-142.88,142.88
2013-06-12,14,-788.97,1032.09
2013-06-13,3,-147.04,147.04
2013-06-14,9,-6054.50,6054.50
2013-06-15,3,-280.62,280.62
2013-06-16,2,-59.16,59.16
2013-06-18,6,-148.87,148.87
2013-06-19,1,-35.80,35.80
2013-06-20,4,-151.31,151.31
2013-06-21,2,-190.95,190.95
2013-06-22,5,-162.48,162.48
2013-06-23,1,-7.84,7.84
2013-06-24,6,-379.23,473.39
2013-06-25,8,-538.18,614.38
2013-06-26,5,-210.72,210.72
2013-06-27,10,-189.89,857.87
2013-06-28,4,-75.40,125.28
2013-07-02,2,5035.71,5212.29
2013-07-03,4,-1152.98,1152.98
2013-07-04,3,284.06,452.54
2013-07-05,3,57.91,145.09
2013-07-06,4,-239.48,239.48
2013-07-07,1,-32.79,32.79
2013-07-08,9,-376.97,459.77
2013-07-10,7,6064.47,6435.01
2013-07-11,2,-17.92,17.92
2013-07-12,6,352.89,460.89
2013-07-13,4,-46.18,164.40
2013-07-14,2,-66.01,66.01
2013-07-15,3,-66.33,66.33
2013-07-16,3,-8.64,66.40
2013-07-17,3,-50.95,189.35
2013-07-18,1,-56.62,56.62
2013-07-19,1,-9.97,9.97
2013-07-20,1,-36.69,36.69
2013-07-21,1,15.92,15.92
2013-07-22,1,-24.88,24.88
2013-07-23,5,115.82,328.38
2013-07-24,4,-86.92,152.52
2013-07-25,7,-394.61,409.85
2013-07-26,3,-141.70,141.70
2013-07-27,3,-112.81,112.81
2013-07-28,3,481.73,624.47
2013-07-30,1,339.90,339.90
2013-07-31,1,-13.78,13.78
2013-08-01,1,-56.87,56.87
2013-08-02,6,8263.25,8444.21
2013-08-03,1,-37.06,37.06
2013-08-04,8,-205.77,660.77
2013-08-06,3,894.47,964.33
2013-08-07,3,-91.58,147.60
2013-08-08,4,-94.17,94.17
2013-08-09,5,3727.65,4594.95
2013-08-10,1,-19.17,19.17
2013-08-12,3,-45.60,66.96
2013-08-13,3,-299.39,299.39
2013-08-14,6,-892.31,915.33
2013-08-16,3,-84.56,84.56
2013-08-17,4,-985.10,1214.08
2013-08-18,6,-762.68,762.68
2013-08-19,1,-10980.00,10980.00
2013-08-21,3,82.18,124.66
2013-08-22,3,12.02,63.90
2013-08-23,2,-40.81,77.23
2013-08-26,6,-632.21,632.21
2013-08-27,3,-136.67,136.67
2013-08-28,12,-665.15,870.13
2013-08-29,6,-134.40,268.28
2013-08-30,5,45.06,172.72
2013-08-31,3,-118.06,166.86
2013-09-02,4,3417.72,3770.28
2013-09-03,1,39.40,39.40
2013-09-04,1,64.42,64.42
2013-09-06,2,-108.72,108.72
2013-09-09,1,-38.98,38.98
2013-09-10,2,-112.41,112.41
2013-09-12,7,7082.45,7328.73
2013-09-13,9,-771.33,771.33
2013-09-14,4,-75.89,75.89
2013-09-15,7,-463.09,463.09
2013-09-16,3,-70.26,70.26
2013-09-17,2,42.01,162.75
2013-09-18,6,-339.88,339.88
2013-09-19,2,-57.62,99.40
2013-09-20,3,-143.18,221.36
2013-09-21,4,-269.23,269.23
2013-09-22,2,-20.88,35.94
2013-09-23,2,29.45,103.43
2013-09-25,4,-48.31,103.83
2013-09-27,3,-114.81,114.81
2013-09-30,13,45805.86,48462.76
2013-10-01,5,-53.93,213.37
2013-10-02,6,20836.71,21543.29
2013-10-03,2,-71.95,146.77
2013-10-04,3,186.78,313.22
2013-10-05,3,7808.36,8151.64
2013-10-06,3,350.70,541.30
2013-10-07,5,-123.90,123.90
2013-10-08,4,-180.76,180.76
2013-10-09,4,-261.51,417.37
2013-10-12,2,62994.94,63025.06
2013-10-13,3,-167.83,167.83
2013-10-14,5,54688.24,54853.56
2013-10-16,4,7391.58,8118.42
2013-10-18,1,-13.60,13.60
2013-10-19,5,-295.97,295.97
2013-10-20,4,-217.41,217.41
2013-10-21,3,-334.43,334.43
2013-10-22,8,-498.28,619.98
2013-10-23,2,-144.20,144.20
2013-10-24,6,-1635.73,37225.73
2013-10-25,1,696.00,696.00
2013-10-26,2,-32.56,32.56
2013-10-29,1,-44.94,44.94
2013-10-30,3,-419.31,419.31
2013-10-31,3,38743.00,38897.00
2013-11-02,4,119.80,257.52
2013-11-03,3,-148.21,148.21
2013-11-04,4,15.17,156.89
2013-11-06,4,-283.22,283.22
2013-11-07,5,-79.00,306.04
2013-11-08,3,-116.33,262.57
2013-11-10,6,70534.84,71067.92
2013-11-11,5,-239.80,239.80
2013-11-12,3,-53.14,53.14
2013-11-13,3,-202.31,202.31
2013-11-14,2,-23.39,23.39
2013-11-15,8,485.47,934.41
2013-11-16,10,18432.72,19267.28
2013-11-17,2,-253.71,253.71
2013-11-18,3,-902.19,902.19
2013-11-19,3,-223.97,223.97
2013-11-20,11,-674.45,1135.91
2013-11-21,2,-97.22,97.22
2013-11-22,1,-154.10,154.10
2013-11-23,6,334.02,791.78
2013-11-24,2,-8.42,65.04
2013-11-25,4,-169.99,169.99
2013-11-26,2,-218.03,218.03
2013-11-27,8,-2541.80,2570.46
2013-11-28,8,8854.85,9373.11
2013-11-29,8,-273.99,658.59
2013-11-30,8,-63071.34,63071.34
2013-12-01,4,71.94,213.52
2013-12-02,4,63.96,265.48
2013-12-03,5,-181.42,217.02
2013-12-04,1,12.38,12.38
2013-12-05,7,-840.70,935.62
2013-12-06,12,-874.24,906.42
2013-12-07,6,-2.36,173.36
2013-12-08,3,54497.60,54520.90
2013-12-09,2,-41.00,85.38
2013-12-10,3,31680.11,31719.89
2013-12-11,1,-19.70,19.70
2013-12-12,8,-246.22,409.00
2013-12-13,7,33886.89,34397.51
2013-12-14,4,-49.76,95.60
2013-12-15,3,-20.28,20.28
2013-12-16,17,5005.79,5534.37
2013-12-17,10,523.31,1381.89
2013-12-18,4,-142.06,142.06
2013-12-19,3,-602.21,602.21
2013-12-20,3,-98.37,98.37
2013-12-21,9,115.08,642.52
